w=w_data_width_c
n=n_reccurance_c
r=r_split_idx_c
p=mersenne prime

   p    n    w    r    TM mem(b)       (KB)    modulo ROM(b)       (KB)
-----  ---  ---  ---  -----------  ---------  ---------------  ---------
  521   17   32   23          544  0.0664062              130  0.0158691
  607   19   32    1          608  0.0742188              145  0.0177002
 1279   40   32    1         1280  0.15625                360  0.0439453
 2203   69   32    5         2208  0.269531               728  0.0888672
 2281   72   32   23         2304  0.28125                756  0.0922852
 3217  101   32   15         3232  0.394531              1216  0.148438
 4253  133   32    3         4256  0.519531              1600  0.195312
 4423  139   32   25         4448  0.542969              1672  0.204102
 9689  303   32    7         9696  1.18359               4095  0.499878
 9941  311   32   11         9952  1.21484               4203  0.513062
11213  351   32   19        11232  1.37109               5270  0.643311
21701  679   32   27        21728  2.65234              10190  1.2439
23209  726   32   23        23232  2.83594              11979  1.46228

    p    n    w    r    TM mem(b)      (KB)    modulo ROM(b)       (KB)
-----  ---  ---  ---  -----------  --------  ---------------  ---------
 1279   20   64    1         1280  0.15625               150  0.0183105
 2203   35   64   37         2240  0.273438              318  0.0388184
 2281   36   64   23         2304  0.28125               324  0.0395508
 3217   51   64   47         3264  0.398438              539  0.0657959
 4253   67   64   35         4288  0.523438              707  0.0863037
 4423   70   64   57         4480  0.546875              735  0.0897217
 9689  152   64   39         9728  1.1875               1824  0.222656
 9941  156   64   43         9984  1.21875              1872  0.228516
11213  176   64   51        11264  1.375                2376  0.290039
19937  312   64   31        19968  2.4375               4212  0.51416
21701  340   64   59        21760  2.65625              4590  0.560303
23209  363   64   23        23232  2.83594              5450  0.665283
44497  696   64   47        44544  5.4375              11484  1.40186
